nome_rio;nivel_rio;vlr_nivel_rio;uni_nivel_rio;chuva_total;vlr_chuva;uni_chuva;temperatura;vlr_temp;uni_temp;umidade;vlr_umidade;uni_umidade;pressao;vlr_pressao;uni_pressao;status;vento;vlr_vento;uni_vento;direcao;leitura
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1037;cm;Chuva;33.2;mm;Temperatura;18.4º;Graus;Umidade;97%;%;Pressão Atmosférica;1009.6;hPa;subindo;Vento;0;km/h;Leste;Leitura realizada em 12/10/2023 às 8:20
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1008;cm;Chuva;46.4;mm;Temperatura;17.2º;Graus;Umidade;100%;%;Pressão Atmosférica;1011.0;hPa;subindo rápido;Vento;0;km/h;Leste;Leitura realizada em 12/10/2023 às 8:20
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1105;cm;Chuva;40.0;mm;Temperatura;16.9º;Graus;Umidade;84%;%;Pressão Atmosférica;1009.7;hPa;subindo;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 8:20
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1046;cm;Chuva;39.4;mm;Temperatura;17.4º;Graus;Umidade;97%;%;Pressão Atmosférica;1009.8;hPa;subindo rápido;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 9:10
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1013;cm;Chuva;54.0;mm;Temperatura;16.9º;Graus;Umidade;100%;%;Pressão Atmosférica;1011.7;hPa;subindo rápido;Vento;0;km/h;Nordeste;Leitura realizada em 12/10/2023 às 9:10
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1121;cm;Chuva;47.0;mm;Temperatura;16.6º;Graus;Umidade;84%;%;Pressão Atmosférica;1010.0;hPa;subindo rápido;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 9:10
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1047;cm;Chuva;42.6;mm;Temperatura;17.2º;Graus;Umidade;97%;%;Pressão Atmosférica;1010.2;hPa;subindo rápido;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 9:25
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1014;cm;Chuva;56.8;mm;Temperatura;16.8º;Graus;Umidade;100%;%;Pressão Atmosférica;1012.3;hPa;subindo rápido;Vento;0;km/h;Sul;Leitura realizada em 12/10/2023 às 9:25
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1126;cm;Chuva;50.0;mm;Temperatura;16.6º;Graus;Umidade;85%;%;Pressão Atmosférica;1010.3;hPa;subindo rápido;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 9:25
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1055;cm;Chuva;43.8;mm;Temperatura;17.3º;Graus;Umidade;97%;%;Pressão Atmosférica;1009.7;hPa;subindo rápido;Vento;0;km/h;Nordeste;Leitura realizada em 12/10/2023 às 9:40
